"population","n","simulated_mean","simulated_sd","theoretical_mean","theoretical_sd","mean_error","sd_ratio","skewness","excess_kurtosis","qq_correlation","qq_rmse","normal_enough","stable_pass"
"Poisson(lambda = 1)",20,0.99998,0.223725288915873,1,0.223606797749979,-2.000000000002e-05,1.00052990860335,0.213016563813842,-0.0152820884587763,0.996518337882557,0.083441698562273,FALSE,FALSE
"Poisson(lambda = 1)",30,1.00288666666667,0.18207777382333,1,0.182574185835055,0.0028866666666667,0.997281039433615,0.142253744091351,-0.00749092628474868,0.997931101915092,0.064321976239948,TRUE,TRUE
"Poisson(lambda = 1)",40,1.00414,0.158009436737844,1,0.158113883008419,0.00414000000000003,0.999339423783743,0.170762635864765,0.0453337378005996,0.998119338812462,0.0613260669410904,TRUE,TRUE
"Poisson(lambda = 1)",50,1.003832,0.140834439005241,1,0.14142135623731,0.00383200000000006,0.995849868452092,0.138624066680187,0.0119814837096817,0.998539048426684,0.0540514994492313,TRUE,TRUE
"Poisson(lambda = 1)",75,1.00102266666667,0.115536642201186,1,0.115470053837925,0.00102266666666662,1.0005766721418,0.0973133149955265,-0.0359717668544395,0.999092208837752,0.0426071831225402,TRUE,TRUE
"Poisson(lambda = 1)",100,1.00023,0.100693798339832,1,0.1,0.000229999999999952,1.00693798339832,0.0803467526716052,-0.0236368433874237,0.999332643275537,0.0365316155841893,TRUE,TRUE
"Poisson(lambda = 1)",150,1.00068466666667,0.0819478594327564,1,0.0816496580927726,0.000684666666666667,1.00365220561787,0.0771154160071787,-0.00980749644919454,0.999483713041032,0.0321318290909342,TRUE,TRUE
"Poisson(lambda = 1)",200,1.0000755,0.071133415467202,1,0.0707106781186548,7.54999999998951e-05,1.00597840891637,0.0733903219334926,-0.0736701796957151,0.99955696499283,0.0297652066158091,TRUE,TRUE
"Poisson(lambda = 1)",300,0.999991,0.0576671890392738,1,0.0577350269189626,-9.00000000003676e-06,0.998825013457013,0.0445214104890489,0.0430757596421079,0.999760290336156,0.0218943826439827,TRUE,FALSE
"Poisson(lambda = 1)",500,1.0003048,0.0446428762021397,1,0.0447213595499958,0.000304800000000105,0.99824505899092,0.0465420297944947,-0.0132211110876321,0.999770175361001,0.0214381956818682,TRUE,FALSE
"Binomial(size = 5, p = .10)",2,0.5003,0.470926838488456,0.5,0.474341649025257,0.000299999999999856,0.992800947283844,0.816875774918447,0.38417308916272,0.917740697846737,0.40558541375216,FALSE,FALSE
"Binomial(size = 5, p = .10)",5,0.50156,0.302560276097279,0.5,0.3,0.00156000000000001,1.0085342536576,0.563145871996543,0.319479846320932,0.970029534423168,0.24481417641339,FALSE,FALSE
"Binomial(size = 5, p = .10)",10,0.50101,0.211349111057214,0.5,0.212132034355964,0.00100999999999996,0.996309264175366,0.405623232361785,0.142994255559568,0.985434850799141,0.170666109289807,FALSE,FALSE
"Binomial(size = 5, p = .10)",15,0.50054,0.172958665206425,0.5,0.173205080756888,0.000539999999999985,0.998577319156077,0.311769211308771,0.0619555434381853,0.990738827851657,0.136088929739293,FALSE,FALSE
"Binomial(size = 5, p = .10)",20,0.50075,0.151508194409731,0.5,0.15,0.000750000000000028,1.01005462939821,0.248477118901251,-0.047645284105188,0.993390683867336,0.114965645985245,FALSE,FALSE
"Binomial(size = 5, p = .10)",30,0.501683333333333,0.122255174484868,0.5,0.122474487139159,0.00168333333333337,0.998209319676169,0.180816217191489,-0.0183070853836584,0.995880056013047,0.0907685671056249,FALSE,FALSE
"Binomial(size = 5, p = .10)",40,0.502565,0.106366945841823,0.5,0.106066017177982,0.00256500000000004,1.00283718265141,0.203711674081366,0.068260988963448,0.99649089511664,0.0837699004813905,FALSE,FALSE
"Binomial(size = 5, p = .10)",50,0.50202,0.094599019537465,0.5,0.0948683298050514,0.00202000000000002,0.997161220523859,0.157669807271591,-0.00844463432889064,0.997374105342818,0.072465030180569,TRUE,TRUE
"Binomial(size = 5, p = .10)",75,0.500053333333333,0.0775983632096669,0.5,0.0774596669241483,5.33333333333497e-05,1.00179056134665,0.131069515835779,0.00491343907085051,0.99823532682325,0.0594048597644107,TRUE,TRUE
"Binomial(size = 5, p = .10)",100,0.499494,0.0676479237534969,0.5,0.0670820393249937,-0.000506000000000006,1.00843570699695,0.121018175935893,0.0133436006303471,0.998582142272284,0.0532483511046255,TRUE,TRUE
"Binomial(size = 5, p = .10)",150,0.499992666666667,0.0549857765528308,0.5,0.0547722557505166,-7.33333333330366e-06,1.00389833866414,0.121716687683061,-0.00131467383339601,0.998898644015627,0.0469303399567015,TRUE,TRUE
"Binomial(size = 5, p = .10)",200,0.4996535,0.0476449833895883,0.5,0.0474341649025257,-0.000346499999999972,1.00444444394659,0.129848839064377,0.0577455557424456,0.999009674948622,0.0445019178417159,TRUE,TRUE
"Binomial(size = 5, p = .10)",300,0.499786333333333,0.0388263596836907,0.5,0.0387298334620742,-0.000213666666666668,1.00249229632529,0.0655454931284116,0.028927617604162,0.999504905365301,0.0314654525929267,TRUE,FALSE
